brand,cashOptions[].productSlug,cashOptions[].thcWeight,categoryName,product.name,product.posPrice,product.qty
Juniper Jill,juniper-jill-juniper-jill-flower-doughnut-voodoo-1g-dime-bag,1.0,Flower,Juniper Jill - Flower - Doughnut VooDoo 1g Dime Bag,12.0,43
Juniper Jill,juniper-jill-juniper-jill-flower-iced-out-wook-1g-dime-bag,1.0,Flower,Juniper Jill - Flower - Iced Out Wook 1g Dime Bag,12.0,69
Nanticoke,nanticoke-nanticoke-flower-black-panther-3-5g,3.5,Flower,Nanticoke - Flower - Black Panther 3.5g,39.0,24
Nanticoke,nanticoke-nanticoke-flower-blue-dream-3-5g,3.5,Flower,Nanticoke - Flower - Blue Dream - 3.5g,40.0,15
Nanticoke,nanticoke-nanticoke-flower-permafrost-3-5g,3.5,Flower,Nanticoke - Flower - Permafrost 3.5g,39.0,14
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-dime-bag-1g-blueberry-muffin,1.0,Flower,Pioneer Plant Tech - Dime Bag - 1g Blueberry Muffin,9.5,30
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-dime-bag-1g-chem-dog,1.0,Flower,Pioneer Plant Tech - Dime Bag - 1g Chem Dog,9.5,62
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-flower-3-bears-1g-dime-bag,1.0,Flower,Pioneer Plant Tech - Flower - 3 Bears - 1g Dime Bag,9.5,28
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-flower-frozen-lemonz-1g-dime,1.0,Flower,Pioneer Plant Tech - Flower - Frozen Lemonz 1g Dime,9.5,52
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-flower-ripleys-og-1g-dime,1.0,Flower,Pioneer Plant Tech - Flower - Ripley's OG 1g Dime,9.5,34
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-guava-2g,2.0,Flower,Pioneer Plant Tech - Guava - 2g,20.0,13
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-sour-papaya-2g,2.0,Flower,Pioneer Plant Tech - Sour Papaya - 2g,20.0,9
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-swizzle-2g,2.0,Flower,Pioneer Plant Tech - Swizzle - 2g,20.0,25
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-flower-papaya-diesel-1g,1.0,Flower,Pioneer Plant Tech-Flower-Papaya Diesel 1g,9.5,37
Pioneer Plant Tech,pioneer-plant-tech-pioneer-plant-tech-flower-sour-stomper-1g,1.0,Flower,Pioneer Plant Tech-Flower-Sour Stomper 1g,9.5,50
Pioneer Plant tech,pioneer-plant-tech-pioneer-plant-tech-dime-bag-1g-bruce-banner,1.0,Flower,Pioneer Plant Tech - Dime Bag - 1g Bruce Banner,9.5,1
SpaceBuds,spacebuds-moonrocks-apple-pie-4g,4.0,Flower,Moonrocks - Apple Pie 4g,60.0,5
Spacebuds,spacebuds-moonrocks-blueberry-muffin-4g,4.0,Flower,Moonrocks - Blueberry Muffin 4g,60.0,5
Spacebuds,spacebuds-spacebuds-moonrocks-strawberry-slushie-space-baller-28g,28.0,Flower,Spacebuds Moonrocks - Strawberry Slushie Space Baller - 28g,350.0,2
Spacebuds Moonrocks,spacebuds-moonrocks-moonrocks-grape-bubbly-4g,4.0,Flower,Moonrocks - Grape Bubbly 4g,60.0,2
Spacebuds Moonrocks,spacebuds-moonrocks-moonrocks-vanilla-frosting-4g,4.0,Flower,Moonrocks - Vanilla Frosting 4g,60.0,6
